Date,Close
1/3/2000 16:00:00,1
1/4/2000 16:00:00,0.92
1/5/2000 16:00:00,0.91
1/6/2000 16:00:00,0.85
1/7/2000 16:00:00,0.88
1/10/2000 16:00:00,0.87
1/11/2000 16:00:00,0.83
1/12/2000 16:00:00,0.78
1/13/2000 16:00:00,0.87
1/14/2000 16:00:00,0.9
1/18/2000 16:00:00,0.94
1/19/2000 16:00:00,0.96
1/20/2000 16:00:00,1.02
1/21/2000 16:00:00,0.99
1/24/2000 16:00:00,0.95
1/25/2000 16:00:00,1
1/26/2000 16:00:00,0.96
1/27/2000 16:00:00,0.98
1/28/2000 16:00:00,0.91
1/31/2000 16:00:00,0.93
2/1/2000 16:00:00,0.9
2/2/2000 16:00:00,0.88
2/3/2000 16:00:00,0.92
2/4/2000 16:00:00,0.96
2/7/2000 16:00:00,1.02
2/8/2000 16:00:00,1.02
2/9/2000 16:00:00,1.02
2/10/2000 16:00:00,1.01
2/11/2000 16:00:00,0.97
2/14/2000 16:00:00,1.04
2/15/2000 16:00:00,1.06
2/16/2000 16:00:00,1.02
2/17/2000 16:00:00,1.03
2/18/2000 16:00:00,1
2/22/2000 16:00:00,1.01
2/23/2000 16:00:00,1.04
2/24/2000 16:00:00,1.03
2/25/2000 16:00:00,0.99
2/28/2000 16:00:00,1.01
2/29/2000 16:00:00,1.02
3/1/2000 16:00:00,1.15
3/2/2000 16:00:00,1.09
3/3/2000 16:00:00,1.14
3/6/2000 16:00:00,1.14
3/7/2000 16:00:00,1.09
3/8/2000 16:00:00,1.09
3/9/2000 16:00:00,1.1
3/10/2000 16:00:00,1.12
3/13/2000 16:00:00,1.08
3/14/2000 16:00:00,1.02
3/15/2000 16:00:00,1.04
3/16/2000 16:00:00,1.09
3/17/2000 16:00:00,1.12
3/20/2000 16:00:00,1.12
3/21/2000 16:00:00,1.2
3/22/2000 16:00:00,1.27
3/23/2000 16:00:00,1.26
3/24/2000 16:00:00,1.24
3/27/2000 16:00:00,1.25
3/28/2000 16:00:00,1.24
3/29/2000 16:00:00,1.21
3/30/2000 16:00:00,1.13
3/31/2000 16:00:00,1.21
4/3/2000 16:00:00,1.19
4/4/2000 16:00:00,1.14
4/5/2000 16:00:00,1.16
4/6/2000 16:00:00,1.12
4/7/2000 16:00:00,1.17
4/10/2000 16:00:00,1.12
4/11/2000 16:00:00,1.07
4/12/2000 16:00:00,0.98
4/13/2000 16:00:00,1.02
4/14/2000 16:00:00,1.01
4/17/2000 16:00:00,1.11
4/18/2000 16:00:00,1.13
4/19/2000 16:00:00,1.1
4/20/2000 16:00:00,1.05
4/24/2000 16:00:00,1.08
4/25/2000 16:00:00,1.13
4/26/2000 16:00:00,1.11
4/27/2000 16:00:00,1.13
4/28/2000 16:00:00,1.11
5/1/2000 16:00:00,1.11
5/2/2000 16:00:00,1.05
5/3/2000 16:00:00,1.03
5/4/2000 16:00:00,0.99
5/5/2000 16:00:00,1.01
5/8/2000 16:00:00,0.98
5/9/2000 16:00:00,0.94
5/10/2000 16:00:00,0.88
5/11/2000 16:00:00,0.93
5/12/2000 16:00:00,0.96
5/15/2000 16:00:00,0.9
5/16/2000 16:00:00,0.94
5/17/2000 16:00:00,0.91
5/18/2000 16:00:00,0.9
5/19/2000 16:00:00,0.84
5/22/2000 16:00:00,0.8
5/23/2000 16:00:00,0.75
5/24/2000 16:00:00,0.78
5/25/2000 16:00:00,0.78
5/26/2000 16:00:00,0.77
5/30/2000 16:00:00,0.78
5/31/2000 16:00:00,0.75
6/1/2000 16:00:00,0.8
6/2/2000 16:00:00,0.83
6/5/2000 16:00:00,0.81
6/6/2000 16:00:00,0.83
6/7/2000 16:00:00,0.87
6/8/2000 16:00:00,0.85
6/9/2000 16:00:00,0.85
6/12/2000 16:00:00,0.81
6/13/2000 16:00:00,0.85
6/14/2000 16:00:00,0.81
6/15/2000 16:00:00,0.82
6/16/2000 16:00:00,0.81
6/19/2000 16:00:00,0.87
6/20/2000 16:00:00,0.91
6/21/2000 16:00:00,0.99
6/22/2000 16:00:00,0.95
6/23/2000 16:00:00,0.92
6/26/2000 16:00:00,0.97
6/27/2000 16:00:00,0.92
6/28/2000 16:00:00,0.97
6/29/2000 16:00:00,0.93
6/30/2000 16:00:00,0.93
7/3/2000 16:00:00,0.95
7/5/2000 16:00:00,0.92
7/6/2000 16:00:00,0.92
7/7/2000 16:00:00,0.96
7/10/2000 16:00:00,1.01
7/11/2000 16:00:00,1.02
7/12/2000 16:00:00,1.04
7/13/2000 16:00:00,1.02
7/14/2000 16:00:00,1.03
7/17/2000 16:00:00,1.04
7/18/2000 16:00:00,0.96
7/19/2000 16:00:00,0.95
7/20/2000 16:00:00,0.99
7/21/2000 16:00:00,0.96
7/24/2000 16:00:00,0.88
7/25/2000 16:00:00,0.89
7/26/2000 16:00:00,0.89
7/27/2000 16:00:00,0.92
7/28/2000 16:00:00,0.86
7/31/2000 16:00:00,0.91
8/1/2000 16:00:00,0.88
8/2/2000 16:00:00,0.84
8/3/2000 16:00:00,0.86
8/4/2000 16:00:00,0.85
8/7/2000 16:00:00,0.86
